R957308,R617886
R503882,R813179
R406333,R317216
R378094,R262094
R866711,R255209
R839266,R258103
R566901,R699196
R422380,R466445
R759495,R524814
R388803,R201809
R354530,R326941
R454197,R891751
R429225,R912232
R290991,R842361
R502063,R860742
R661199,R227440
R727324,R509837
R158217,R745288
R347418,R187474
R559379,R364712
R651486,R944703
R958002,R459299
R436485,R336841
R733681,R276709
R476459,R823602
R287403,R211906
R685825,R646872
R200329,R173560
R568689,R923984
R523072,R779289
R655044,R567024
R330964,R989954
R397957,R438681
R265435,R271499
R983634,R683192
R164386,R758865
R594038,R410554
R268355,R351785
R993581,R481757
R549177,R169631
R277781,R171486
R233991,R882372
R965617,R186769
R525941,R206825
R845848,R965272
R262909,R690469
R600280,R603999
R278177,R383135
R324584,R647941
R979333,R160095
R350335,R159609
R237204,R774680
R493318,R570756
R818509,R173289
R702021,R100754
R603034,R681448
R938281,R478953
R921474,R394982
R382966,R451822
R171312,R526852
R504024,R969105
R681079,R810848
R414372,R867253
R259367,R371354
R282920,R628369
R111889,R909538
R380635,R758565
R354777,R935906
R340877,R550081
R459794,R390116
R295329,R102759
R231747,R397129
R270951,R284045
R504413,R957526
R117084,R261473
R731197,R926003
R304043,R443078
R916790,R595507
R899399,R473279
R962016,R264526
R332072,R128422
R718152,R965931
R849435,R645746
R847273,R130803
R193682,R171298
R394508,R209453
R849985,R778692
R719148,R219107
R266521,R615851
R821547,R933878
R476505,R248459
R466490,R475975
R730719,R150529
R856020,R477783
R353368,R563065
R802511,R867906
R724342,R439685
R292572,R173371
R108502,R626186
R898741,R550055
R111415,R119782
R364509,R890433
R611697,R762946
R783862,R853438
R955553,R843850
R242981,R999896
R967621,R798124
R257098,R426653
R949898,R990313
R823279,R977220
R520409,R596957
R170442,R258913
R405930,R810204
R442160,R410575
R534178,R286481
R478530,R946196
R770840,R767400
R258713,R281591
R664179,R981467
R649812,R742805
R937598,R238835
R910882,R111834
R514016,R566903
R163837,R527457
R431432,R595701
R422460,R559905
R613194,R277317
R529220,R386468
R888154,R639484
R185812,R395731
R729739,R175202
R255242,R201292
R658739,R633605
R376621,R805535
R545612,R817120
R459250,R478956
R784587,R216735
R606837,R450088
R162975,R164130
R512806,R477839
R821395,R219375
R587949,R126100
R547790,R339030
R388945,R708271
R188568,R417091
R570640,R467791
R130938,R582659
R565787,R994509
R468526,R375204
R294380,R102165
R407662,R166645
R917789,R585054
R189667,R381853
R352602,R367929
R337934,R586219
R968346,R344599
R266271,R853835
R891884,R694231
R409922,R900316
R255410,R815837
R467183,R444945
R956659,R258144
R709427,R826907
R265443,R564217
R105633,R265962
R677765,R442947
R395395,R530507
R871326,R667417
R102918,R877591
R190758,R801054
R181607,R671695
R906316,R474081
R501379,R873853
R107269,R496256
R230880,R982914
R219772,R594701
R957581,R452478
R159091,R155248
R520498,R936853
R614191,R979807
R631271,R446553
R459204,R138386
R790433,R950859
R446715,R225082
R252989,R846806
R635115,R264413
R837602,R246219
R328907,R544104
R296297,R692529
R732512,R266748
R378783,R408793
R275009,R952521
R424127,R582855
R179238,R522156
R449220,R566653
R517876,R846582
R876898,R635645
R857042,R113488
R208750,R777017
R971922,R326403
R558211,R580788
R426060,R340951
R753793,R319925
R295129,R901257
R669783,R644328
R165863,R789181
R564208,R361326
R854674,R647949
R771640,R766164
R752022,R362836
R358437,R209819
R237414,R732641
R203760,R572275
R353577,R217610
R360047,R152990
R494152,R940612
R863019,R135417
R302885,R829227
R953732,R935674
R332222,R251909
R671416,R464983
R192087,R486663
R791503,R398644
R872266,R861695
R795670,R368380
R655838,R116474
R290920,R636607
R493011,R794095
R555430,R420883
R356748,R242608
R356947,R566624
R149139,R626887
R584580,R545730
R624158,R733188
R915638,R745524
R527450,R340397
R404658,R480636
R955233,R846117
R674707,R285332
R337512,R926731
R410492,R521551
R170733,R446279
R852082,R542364
R355475,R892455
R634568,R845332
R795557,R316258
R756351,R253732
R460885,R860555
R594421,R283133
R851890,R193627
R869067,R871749
R705353,R846005
R906651,R690841
R784213,R927691
R835628,R290583
R944156,R754190
R786291,R193633
R724294,R116095
R494338,R917660
R864855,R581341
R815649,R914532
R430042,R852363
R291450,R327060
R714743,R875401
R443201,R193469
R414797,R113010
R327709,R566979
R842018,R129989
R964554,R111344
R174153,R836231
R635386,R668434
R204930,R432611
R578561,R263387
R566849,R226404
R948657,R146728
R484718,R832525
R176827,R501902
R501217,R153176
R916866,R916791
R945892,R887994
R190942,R392281
R367557,R659441
R701496,R538807
R529530,R644650
R442135,R275444
R985419,R356609
R844223,R479194
R127172,R407257
R683520,R736919
R434026,R176599
R727031,R764261
R850443,R306638
R786097,R396846
R343039,R166557
R180460,R866953
R520148,R905736
R761448,R934217
R243178,R490764
R578344,R684927
R542490,R834626
R507323,R601983
R128969,R781796
R484595,R423622
R483647,R236978
R898149,R413928
R416095,R490904
R249452,R773350
R513015,R290009
R754078,R255277
R599362,R656357
R701080,R978541
R925263,R738022
R333485,R184691
R127659,R758641
R848948,R667631
R446320,R478456
R447029,R552782
R872197,R259374
R707809,R283330
R383510,R286616
R634508,R712340
R446150,R474655
R649068,R574328
R587442,R314706
R631867,R240155
R801500,R705664
R538167,R529106
R268023,R591546
R756135,R725954
R760015,R619333
R264658,R781982
R888687,R622872
R145746,R662537
R649804,R593061
R402921,R460866
R520914,R786772
R587597,R163323
R326640,R381407
R455221,R688727
R826994,R740554
R941458,R829858
R299648,R894431
R713299,R558419
R962131,R415232
R538610,R529164
R672095,R975074
R138166,R620896
R979497,R985901
R716466,R175308
R725236,R613722
R289647,R934711
R531446,R617418
R569061,R626481
R652892,R584201
R574084,R131138
R417207,R554596
R758015,R342778
R949240,R125730
R167495,R171685
R393873,R209373
R151513,R257016
R492516,R918036
R782934,R232861
R147434,R246019
R818526,R328707
R312264,R244821
R324297,R548361
R712203,R905385
R321673,R110166
R695434,R138006
R217670,R472856
R398064,R130259
R503609,R971763
R621855,R336852
R699384,R474375
R688114,R437790
R736323,R430797
R620646,R176198
R599359,R348471
R760767,R305759
R172324,R410007
R226412,R231808
R459632,R709203
R313679,R774444
R769632,R565974
R600538,R295545
R899771,R222938
R211027,R616145
R493811,R464296
R867319,R767148
R218421,R822551
R830505,R938063
R957662,R956396
R991678,R989281
R544257,R447871
R393214,R416403
R522095,R777516
R259323,R560526
R328029,R563346
R802190,R807541
R142759,R589612
R424936,R671466
R844581,R322528
R880580,R181926
R345321,R985112
R287057,R761244
R270301,R909641
R566172,R500990
R116066,R581159
R777999,R852467
R956182,R844728
R842849,R855107
R932091,R197873
R203794,R837527
R812550,R576742
R185526,R495951
R306092,R567120
R986682,R121910
R772375,R638656
R465769,R234769
R384702,R257417
R575931,R612370
R663970,R534542
R257968,R525370
R801538,R573929
R371348,R160892
R306613,R378601
R239087,R367510
R981267,R845754
R228518,R277395
R722419,R797248
R646861,R563237
R879361,R510069
R621509,R529063
R342360,R723979
R586028,R777198
R126951,R403056
R438532,R982397
R115374,R342544
R945037,R765530
R402530,R728451
R688441,R743730
R245484,R360976
R754668,R410226
R148705,R112877
R623876,R475239
R219331,R430924
R323042,R887070
R979292,R187894
R725283,R524468
R888271,R621768
R732788,R883984
R543053,R464990
R490374,R489589
R880714,R799218
R989168,R513973
R591388,R764588
R521137,R128994
R537787,R752854
R520737,R171434
R574709,R219468
R532303,R949429
R214212,R737545
R420615,R701581
R686566,R658454
R598210,R388858
R645714,R836101
R396272,R667378
R652300,R304530
R572131,R149105
R663772,R722452
R104964,R433277
R106864,R485201
R118774,R236205
R272557,R625386
R987677,R340574
R668361,R913053
R276386,R733795
R279910,R545432
R176104,R711670
R705443,R148473
R133377,R679403
R693089,R672502
R537915,R534505
R347966,R380322
R762256,R332074
R983588,R398246
R955387,R422069
R309507,R577295
R104642,R801416
R217785,R392547
R618673,R326404
R140703,R318686
R801192,R403674
R296284,R551542
R752547,R497292
R611184,R400335
R796053,R951096
R753332,R282008
R481606,R393848
R731219,R466216
R759285,R149806
R928527,R558866
R193590,R215790
R426473,R319791
R509930,R119757
R456696,R442167
R308793,R357084
R818744,R239618
R381888,R964953
R776015,R911505
R359923,R345839
R364155,R148487
R189778,R874261
R104678,R998413
R125703,R975639
R384005,R875182
R308048,R163292
R221996,R960938
R441126,R422697
R909528,R658688
R126545,R483136
R277292,R679675
R393487,R849244
R787180,R592271
R320597,R782062
R595726,R126671
R455422,R818163
R985145,R275890
R953317,R886182
R270486,R243770
R620070,R896633
R199637,R803278
R318820,R283916
R504525,R124472
R786970,R441639
R809327,R639281
R763999,R167956
R851376,R694018
R337459,R590063
R885602,R264978
R298212,R438635
R798980,R359024
R581639,R801231
R327315,R786545
R393100,R698835
R747182,R933831
R899335,R763682
R460367,R591258
R335448,R885371
R370811,R960656
R621341,R119954
R902707,R504174
R812670,R154418
R644930,R243470
R884604,R390699
R572590,R157823
R319069,R249999
R763086,R807426
R121754,R955522
R615396,R332882
R813115,R838521
R147907,R612104
R411269,R144293
R609457,R460402
R866730,R173296
R761831,R329186
R206322,R756008
R408861,R949521
R394050,R605571
R242399,R464358
R784999,R968707
R397652,R816065
R224774,R783922
R849294,R783437
R690405,R887996
R314037,R920665
R342689,R823752
R240096,R940513
R200982,R778587
R906909,R277984
R508950,R719065
R608646,R864859
R792600,R339273
R195342,R172289
R795922,R472785
R519564,R255274
R507041,R862407
R211565,R566216
R936855,R368777
R255615,R670559
R701200,R122900
R825016,R600135
R550800,R926548
R677486,R252162
R983528,R830922
R575276,R892695
R276479,R354793
R884018,R124263
R202254,R965845
R500442,R312320
R694769,R986992
R295013,R860213
R602306,R345439
R994277,R158290
R271311,R101027
R312927,R345945
R380313,R706450
R783044,R386351
R933416,R272068
R293980,R643649
R907359,R292171
R186835,R776269
R183896,R331078
R361084,R453515
R334706,R505848
R814264,R921472
R276253,R920200
R556645,R924449
R958287,R453050
R873188,R738307
R107268,R921320
R370705,R350455
R795992,R429736
R617994,R915333
R473954,R210200
R905132,R477139
R331746,R970709
R697504,R419924
R283976,R614583
R558722,R639367
R730853,R458719
R635652,R169848
R936131,R631910
R112283,R651555
R734022,R857757
R923899,R798941
R104770,R961974
R779067,R684702
R523147,R740592
R721713,R328943
R198450,R230764
R262843,R291031
R981315,R835664
R792430,R234505
R435758,R319120
R720401,R555880
R297179,R971633
R384972,R456714
R169039,R930178
R231443,R955097
R146853,R942163
R996334,R571312
R366534,R676822
R399505,R910616
R126021,R563727
R104365,R639746
R139160,R339825
R298917,R939517
R756112,R444383
R134369,R508813
R120243,R662411
R756074,R520385
R512646,R188615
R696418,R875802
R997311,R488871
R104378,R739585
R703660,R185310
R833039,R777603
R541204,R649941
R897938,R468007
R531702,R429991
R948309,R727923
R226949,R868516
R494170,R104406
R640202,R507476
R961993,R611277
R760649,R459793
R522576,R531228
R790079,R554713
R348269,R662884
R580631,R823593
R509079,R670352
R521478,R637975
R164268,R169127
R914234,R568792
R800920,R860317
R808856,R547393
R787251,R845263
R365057,R161198
R904515,R401965
R354758,R840991
R798373,R171758
R468858,R265897
R473040,R304627
R479009,R485727
R489310,R581750
R450530,R794570
R129468,R431883
R816618,R523304
R481921,R973482
R723218,R616445
R832867,R343915
R184089,R988449
R928759,R746466
R653664,R981818
R914794,R612798
R170039,R808823
R432459,R268009
R878784,R452208
R405651,R377628
R282039,R659509
R944730,R345771
R270221,R580976
R430308,R800367
R547605,R446049
R707476,R471989
R151562,R224028
R824786,R614381
R431328,R130199
R153777,R958636
R118253,R538846
R289168,R929254
R399025,R471946
R526271,R765317
R554101,R576404
R193456,R999734
R852110,R801854
R434320,R321907
R557691,R524923
R525491,R414476
R740527,R729656
R867025,R505286
R467866,R221239
R881050,R727520
R595973,R640996
R849290,R348817
R196023,R184289
R803314,R838346
R341068,R486832
R894399,R755784
R602517,R161280
R490930,R886885
R730882,R481960
R580605,R739917
R330243,R768022
R747016,R423727
R257404,R958549
R573398,R562855
R388082,R524495
R448992,R796901
R405483,R974831
R770109,R658665
R652066,R533084
R737237,R316705
R186412,R210176
R453574,R729456
R578205,R142020
R928652,R856135
R651980,R771296
R546805,R511421
R264505,R459014
R178404,R349226
R710541,R744309
R918774,R796029
R103114,R537177
R261485,R505097
R503051,R105863
R503438,R661234
R704725,R753450
R153537,R990238
R625424,R887213
R763998,R484773
R613026,R764490
R252031,R418722
R851545,R775266
R198786,R708644
R842875,R940725
R892317,R761723
R378509,R893087
R814323,R547283
R648766,R316492
R951430,R937559
R846623,R735376
R905060,R415553
R159795,R428391
R504519,R334835
R960667,R611577
R391132,R249229
R344517,R458738
R145116,R613758
R370366,R943235
R875387,R353833
R938769,R845119
R314903,R720494
R584496,R492208
R997273,R400934
R765804,R325205
R988054,R141593
R404411,R378230
R974161,R228061
R652247,R512127
R700071,R165479
R557246,R361846
R216271,R159423
R109437,R351039
R911226,R943881
R328884,R605775
R495962,R874648
R979925,R440601
R596930,R192183
R111870,R896719
R312724,R845829
R892754,R617017
R295838,R744016
R355296,R418612
R576267,R749883
R894262,R919601
R557798,R940033
R250765,R798788
R708973,R706410
R280777,R782510
R715733,R934144
R479973,R127484
R234155,R884838
R611521,R666398
R441165,R182679
R673789,R962672
R590581,R871470
R844019,R627743
R203501,R302634
R738914,R983430
R728014,R301290
R786616,R587934
R166355,R926920
R516446,R620056
R218490,R710436
R555992,R899169
R740121,R615239
R871017,R924393
R420071,R379801
R411516,R360119
R829179,R443545
R693118,R984874
R291915,R103311
R766312,R832519
R861457,R895606
R885588,R560218
R614019,R916352
R768131,R562322
R456762,R788060
R121387,R646805
R268971,R336209
R570845,R657039
R858916,R918506
R482050,R419976
R815530,R471638
R834150,R541921
R555210,R719107
R917404,R673966
R409125,R704951
R938921,R191257
R130342,R881277
R560987,R481689
R464876,R387726
R821032,R941139
R836528,R795733
R559725,R309652
R618103,R432179
R178179,R445032
R656071,R430907
R230444,R351001
R839895,R317753
R720873,R544108
R505141,R281912
R170585,R705340
R822228,R113230
R289757,R486218
R736814,R232590
R155600,R633895
R241725,R610857
R371152,R790333
R824156,R384904
R147822,R855396
R601722,R711448
R152067,R238649
R262737,R552714
R402217,R757098
R744271,R562901
R196517,R753806
R159414,R202465
R712640,R413306
R651872,R922325
R535653,R463506
R236705,R858833
R171341,R599558
R506698,R669798
R127721,R617000
R254140,R197185
R729782,R927997
R451586,R975184
R821863,R600004
R918784,R152295
R867579,R714621
R159239,R544261
R583006,R284170
R817111,R846486
R983653,R151332
R265779,R622837
R118839,R556204
R192464,R790458
R604026,R346688
R910118,R287616
R553752,R184347
R443042,R876519
R371685,R142248
R909386,R505863
R489078,R339714
R402869,R228316
R643805,R953172
R792393,R916963
R283241,R926531
R761248,R114324
R888667,R393468
R223590,R135666
R411911,R440054
R500949,R266984
R850530,R745079
R999800,R581212
R156935,R611565
R544343,R754224
R238542,R933436
R427619,R575683
R376138,R975079
R527355,R776599
R228168,R724733
R290888,R244820
R364896,R747545
R538831,R279259
R970674,R498136
R606861,R240706
R488822,R777025
R792736,R863841
R709230,R753928
R825207,R886934
R789640,R674593
R679804,R824503
R247891,R255551
R653115,R663178
R876775,R343552
R830438,R260362
R443431,R386019
R902291,R559488
R530618,R199087
R869338,R202455
R226570,R334751
R343267,R859124
R647967,R740974
R858997,R407397
R709051,R478685
R195326,R626174
R935689,R677413
R193423,R689727
R628529,R269369
R446776,R207626
R441011,R118718
R807737,R847826
R428666,R312847
R390607,R873931
R161527,R605700
R765469,R781433
R833357,R747838
R658628,R720828
R452359,R578679
R752591,R317218
R763656,R897226
R751195,R890885
R588898,R557477
R845759,R863768
R188102,R613368
R786416,R709218
R805461,R806252
R988494,R536986
R447500,R716732
R956371,R522548
R503130,R649754
R122144,R907746
R985474,R775613
R139690,R384637
R734413,R402468
R167489,R243499
R589554,R131545
R845412,R457314
R388265,R467351
R266743,R440453
R310979,R261056
R252168,R337285
R542482,R321229
R230065,R400011
R114469,R780963
R592318,R607869
R256158,R893712
R920109,R907355
R832894,R901446
R313996,R512770
R256809,R728551
R244406,R508184
R213966,R682653
R753567,R498995
R848890,R155763
R310755,R429780
R764926,R887605
R453486,R449096
R212881,R152004
R617257,R823396
R988528,R733305
R475930,R411008
R863821,R524283
R241139,R148031
R765104,R323468
R280108,R734319
R718681,R394454
R432527,R813308
R781508,R942281
R375601,R679883
R251785,R158138
R617783,R545749
R513281,R826483
R850098,R171829
R920573,R547169
R922799,R587161
R446572,R981526
R206805,R987568
R579551,R110153
R292141,R514147
R952777,R596708
R928807,R770876
R468102,R915860
R211775,R818656
R644719,R681781
R198783,R930513
R226613,R119681
R468675,R572583
R444464,R240330
R624967,R744741
R460771,R525784
R858606,R930326
R124498,R766507
R772495,R966205
R495360,R179869
R120232,R183816
R413457,R320191
R245632,R820291
R792944,R846051
R832790,R359111
R456403,R131068
R216237,R452485
R810576,R339822
R102216,R734728
R528557,R709627
R616778,R174858
R469494,R614058
R956714,R654915
R135163,R581657
R580979,R839519
R429491,R930569
R883288,R346596
R271781,R522719
R361901,R169860
R383721,R676662
R781047,R192226
R517534,R439509
R734773,R914822
R631187,R183702
R348225,R866792
R455588,R640762
R595584,R116591
R745770,R769881
R146380,R170764
R247541,R550945
R876547,R537312
R876947,R825454
R799102,R653897
R650000,R374068
R296992,R209017
R485659,R212957
R135967,R156204
R593396,R160176
R245950,R262370
R395823,R879771
R143789,R585883
R172347,R257401
R663838,R931891
R291902,R349280
R880650,R869697
R212550,R778036
R739477,R126075
R266139,R159354
R391605,R858276
R433834,R494972
R663371,R403210
R759393,R867329
R537393,R681256
R159840,R477115
R796456,R605496
R239794,R118546
R973413,R523536
R869919,R266512
R851440,R456041
R552552,R715800
R195124,R919428
R951827,R327428
R583265,R106076
R198386,R380310
R974123,R874248
R455847,R576140
R962273,R271029
R719723,R508653
R502284,R696956
R564672,R635910
R806076,R379516
R454531,R401208
R726828,R872356
R986274,R147823
R429345,R277123
R665590,R842035
R170329,R319172
R259820,R668608
R619781,R268594
R465771,R967104
R921247,R486254
R655110,R142640
R943607,R823722
R447413,R717119
R532050,R619155
R920844,R570761
R790884,R810849
R584157,R704393
R831447,R542051
R928822,R755151
R464921,R107620
R380343,R656994
R558596,R338862
R549447,R874334
R677310,R398632
R677551,R163942
R820909,R188848
R555613,R409152
R418742,R200528
R940766,R562738
R974982,R563082
R747857,R460783
R529400,R217713
R589762,R510725
R353708,R606029
R270530,R660321
R306729,R960513
R295490,R837827
R140970,R520612
R778500,R667322
R518952,R849266
R464171,R631255
R694828,R464555
R231465,R849920
R256215,R116741
R277672,R605680
R801898,R242681
R836335,R400172
R578259,R365003
R702892,R478263
R654250,R776162
R163901,R383157
R577040,R211590
R357696,R723953
R451619,R455274
R860893,R400055
R758033,R122339
R531880,R811595
R226124,R588554
R380332,R328704
R150372,R275029
R674329,R727876
R258980,R218912
R656990,R447027
R693335,R657367
R545114,R205876
R356316,R959141
R260568,R597659
R309128,R116396
R390450,R972134
R616793,R916193
R621050,R564530
R460466,R142073
R459819,R668919
R180701,R630376
R168152,R659905
R310844,R948728
R921632,R324438
R153810,R858032
R706318,R557582
R206612,R493441
R783657,R819227
R690896,R326392
R871379,R401962
R716528,R924454
R382317,R458095
R232190,R347084
R610848,R151244
R930288,R656253
R242613,R634271
R314831,R394573
R642270,R436481
R797662,R573041
R534797,R442540
R484833,R257281
R593881,R144596
R651717,R932901
R343367,R453512
R893054,R643975
R215629,R846680
R761800,R796295
R705368,R410840
R405192,R209570
R999183,R908380
R966316,R883451
R857141,R841631
R351521,R223758
R800239,R709129
R374933,R108176
R972266,R854479
R164606,R405508
R225466,R984458
R598922,R954159
R255849,R389800
R839980,R460765
R198896,R727870
R181066,R632740
R154825,R958724
R389483,R673099
R246036,R638306
R407830,R603822
R543512,R871116
R302738,R829110
R790688,R468815
R721351,R429517
R361501,R296527
R355710,R591624
R893381,R152905
R547106,R659908
R627235,R809386
R187494,R981472
R520551,R172996
R936445,R632194
R558068,R880319
R452854,R468230
R904140,R756981
R256654,R942605
R306249,R839188
R308880,R556489
R215019,R367687
R227315,R484278
R229815,R992694
R531784,R969235
R605269,R600690
R246699,R808432
R742451,R721584
R108308,R398776
R957057,R744012
R638728,R202386
R312333,R859395
R243079,R937735
R774313,R972288
R239575,R516044
R613634,R326499
R701961,R806579
R557134,R940764
R722332,R764559
R338913,R364076
R456876,R969822
R354854,R222059
R179180,R723110
R642039,R699169
R544629,R122673
R772790,R518532
R877909,R411536
R354775,R445378
R400043,R779946
R640891,R612385
R673575,R271230
R822432,R470502
R494896,R900511
R827097,R734566
R266678,R345126
R136226,R499131
R603491,R137342
R263620,R622933
R704001,R415144
R258611,R553022
R737507,R510196
R357754,R889172
R328385,R990328
R100347,R247499
R128506,R596014
R998081,R596986
R741614,R998645
R813996,R291644
R784974,R851290
R282125,R255446
R349378,R250404
R537690,R506690
R602077,R279619
R147648,R601538
R324753,R234123
R200895,R522527
R215611,R333877
R330565,R381337
R879945,R442688
R412752,R850189
R940085,R634321
R654424,R117371
R235759,R167063
R864965,R465254
R100442,R828575
R423121,R613510
R949687,R946409
R137494,R637569
R280581,R447479
R620430,R170931
R551863,R543586
R217342,R786881
R354716,R413529
R895076,R521962
R283956,R508588
R800246,R655283
R490358,R354919
R570636,R662299
R980118,R846883
R777630,R257134
R131981,R279428
R386571,R699147
R683980,R407409
R845832,R769766
R337637,R107793
R762126,R394526
R749576,R732636
R825632,R426618
R947772,R970077
R387563,R157980
R345660,R391906
R463211,R435275
R158100,R910241
R593634,R855165
R118230,R197245
R865905,R978705
R796317,R816714
R938643,R663372
R134879,R774606
R807761,R974098
R923884,R349702
R930097,R367303
R573732,R714100
R897474,R103780
R827941,R384625
R909984,R441486
R302226,R323726
R877528,R283992
R776309,R144385
R722888,R613408
R168011,R826074
R473126,R384350
R657036,R554317
R730543,R478373
R422825,R693682
R183814,R530171
R525811,R792792
R412661,R169785
R826796,R771631
R854013,R337003
R994851,R327254
R943206,R953878
R746126,R678583
R732266,R177890
R140339,R243921
R968093,R678221
R774710,R857540
R841675,R191169
R688311,R511379
R276425,R943576
R453817,R340583
R577795,R589012
R689357,R237370
R176365,R561126
R910385,R526682
R533792,R778903
R543201,R505261
R669390,R688393
R579428,R989071
R337850,R901243
R590270,R877835
R451538,R763520
R487076,R274976
R236616,R560892
R410090,R150605
R110012,R645956
R285135,R553579
R542333,R529525
R254380,R413581
R465109,R888878
R954245,R846718
R928287,R614434
R214084,R520674
R490709,R482152
R457266,R565032
R994010,R843695
R207336,R590371
R257050,R563179
R696838,R377185
R766053,R651707
R540830,R919282
R587382,R531995
R307769,R288421
R151586,R744180
R979521,R693743
R632818,R235776
R440918,R506299
R151749,R489254
R511885,R193757
R894856,R172090
R725936,R561113
R135097,R704158
R529619,R567969
R244508,R585513
R985203,R739206
R557078,R843049
R110985,R128160
R339775,R422672
R733823,R749953
R154714,R927228
R606636,R468622
R468174,R191430
R128314,R248811
R710919,R128701
R407968,R616370
R512728,R336043
R930240,R886256
R943212,R981181
R642945,R406610
R917627,R317807
R691278,R737703
R521674,R183182
R349904,R367137
R615318,R230292
R198916,R118949
R474820,R529139
R591907,R732993
R452939,R848636
R896587,R606255
R334151,R349364
R299527,R285156
R552374,R610517
R534837,R718975
R675387,R875437
R767050,R878271
R322130,R278174
R184265,R360991
R389830,R792547
R535934,R829309
R729300,R518342
R273692,R319285
R993740,R981348
R596536,R946814
R940655,R739540
R873083,R516606
R792370,R550618
R467732,R418858
R409787,R496670
R613349,R573680
R427837,R180942
R302953,R391628
R878199,R813142
R334485,R106345
R181464,R207314
R146912,R441056
R671961,R257194
R233930,R404538
R455948,R512384
R879236,R812693
R558950,R783847
R117504,R887901
R392799,R848749
R483238,R728266
R142252,R356494
R240888,R652084
R626069,R904236
R761108,R650430
R186653,R261584
R396269,R546515
R528234,R579974
R842273,R906085
R329624,R941157
R729463,R557254
R906031,R545435
R359067,R641937
R793152,R144155
R622405,R247255
R785360,R679223
R616038,R909877
R628781,R522826
R769620,R713176
R938929,R429209
R643891,R765162
R193059,R652343
R205192,R549769
R874943,R316101
R552004,R484813
R578578,R289845
R999808,R989264
R337833,R263464
